Venue:,Capacity:,Timestamp:
MyFitness Viljandi,32%,2021-05-17 08:06:58.323201
MyFitness Viru,20%,2021-05-17 08:06:58.323202
MyFitness Ülemiste City,41%,2021-05-17 08:06:58.323207
MyFitness Balti Jaama Turg,36%,2021-05-17 09:06:15.608958
MyFitness Järve,38%,2021-05-17 09:06:15.608962
MyFitness Kristiine,14%,2021-05-17 09:06:15.608963
MyFitness Lasnamäe Kärberi,13%,2021-05-17 09:06:15.608964
MyFitness Lasnamäe Linnamäe,13%,2021-05-17 09:06:15.608965
MyFitness Lasnamäe Virbi,12%,2021-05-17 09:06:15.608966
MyFitness Mustamäe,42%,2021-05-17 09:06:15.608967
MyFitness Narva,25%,2021-05-17 09:06:15.608968
MyFitness Pirita,33%,2021-05-17 09:06:15.608969
MyFitness Postimaja,15%,2021-05-17 09:06:15.608970
MyFitness Rocca al Mare,55%,2021-05-17 09:06:15.608971
MyFitness Rävala,48%,2021-05-17 09:06:15.608972
MyFitness Solaris,14%,2021-05-17 09:06:15.608972
MyFitness Tartu Annelinn,24%,2021-05-17 09:06:15.608973
MyFitness Tartu Kesklinn,29%,2021-05-17 09:06:15.608974
MyFitness Tartu Lõunakeskus,13%,2021-05-17 09:06:15.608975
MyFitness Viimsi,23%,2021-05-17 09:06:15.608975
MyFitness Viljandi,39%,2021-05-17 09:06:15.608976
MyFitness Viru,25%,2021-05-17 09:06:15.608977
MyFitness Ülemiste City,32%,2021-05-17 09:06:15.608983
MyFitness Balti Jaama Turg,28%,2021-05-17 10:06:31.409280
MyFitness Järve,28%,2021-05-17 10:06:31.409283
MyFitness Kristiine,20%,2021-05-17 10:06:31.409284
MyFitness Lasnamäe Kärberi,23%,2021-05-17 10:06:31.409285
MyFitness Lasnamäe Linnamäe,10%,2021-05-17 10:06:31.409286
MyFitness Lasnamäe Virbi,13%,2021-05-17 10:06:31.409287
MyFitness Mustamäe,24%,2021-05-17 10:06:31.409288
MyFitness Narva,23%,2021-05-17 10:06:31.409289
MyFitness Pirita,33%,2021-05-17 10:06:31.409290
MyFitness Postimaja,20%,2021-05-17 10:06:31.409291
MyFitness Rocca al Mare,69%,2021-05-17 10:06:31.409291
MyFitness Rävala,49%,2021-05-17 10:06:31.409292
MyFitness Solaris,17%,2021-05-17 10:06:31.409293
MyFitness Tartu Annelinn,42%,2021-05-17 10:06:31.409294
MyFitness Tartu Kesklinn,37%,2021-05-17 10:06:31.409295
MyFitness Tartu Lõunakeskus,27%,2021-05-17 10:06:31.409295
MyFitness Viimsi,19%,2021-05-17 10:06:31.409296
MyFitness Viljandi,25%,2021-05-17 10:06:31.409297
MyFitness Viru,38%,2021-05-17 10:06:31.409298
MyFitness Ülemiste City,24%,2021-05-17 10:06:31.409302
MyFitness Balti Jaama Turg,39%,2021-05-17 11:06:30.271444
MyFitness Järve,40%,2021-05-17 11:06:30.271448
MyFitness Kristiine,24%,2021-05-17 11:06:30.271449
MyFitness Lasnamäe Kärberi,13%,2021-05-17 11:06:30.271450
MyFitness Lasnamäe Linnamäe,19%,2021-05-17 11:06:30.271450
MyFitness Lasnamäe Virbi,13%,2021-05-17 11:06:30.271451
MyFitness Mustamäe,24%,2021-05-17 11:06:30.271452
MyFitness Narva,25%,2021-05-17 11:06:30.271452
MyFitness Pirita,23%,2021-05-17 11:06:30.271453
MyFitness Postimaja,20%,2021-05-17 11:06:30.271453
MyFitness Rocca al Mare,58%,2021-05-17 11:06:30.271454
MyFitness Rävala,47%,2021-05-17 11:06:30.271455
MyFitness Solaris,21%,2021-05-17 11:06:30.271455
MyFitness Tartu Annelinn,31%,2021-05-17 11:06:30.271456
MyFitness Tartu Kesklinn,22%,2021-05-17 11:06:30.271456
MyFitness Tartu Lõunakeskus,19%,2021-05-17 11:06:30.271457
MyFitness Viimsi,26%,2021-05-17 11:06:30.271457
MyFitness Viljandi,14%,2021-05-17 11:06:30.271458
MyFitness Viru,23%,2021-05-17 11:06:30.271459
MyFitness Ülemiste City,21%,2021-05-17 11:06:30.271461
MyFitness Balti Jaama Turg,40%,2021-05-17 12:06:49.335621
MyFitness Järve,45%,2021-05-17 12:06:49.335625
MyFitness Kristiine,24%,2021-05-17 12:06:49.335627
MyFitness Lasnamäe Kärberi,20%,2021-05-17 12:06:49.335628
MyFitness Lasnamäe Linnamäe,25%,2021-05-17 12:06:49.335629
MyFitness Lasnamäe Virbi,19%,2021-05-17 12:06:49.335630
MyFitness Mustamäe,34%,2021-05-17 12:06:49.335631
MyFitness Narva,39%,2021-05-17 12:06:49.335632
MyFitness Pirita,20%,2021-05-17 12:06:49.335634
MyFitness Postimaja,15%,2021-05-17 12:06:49.335635
MyFitness Rocca al Mare,83%,2021-05-17 12:06:49.335636
MyFitness Rävala,81%,2021-05-17 12:06:49.335637
MyFitness Solaris,24%,2021-05-17 12:06:49.335638
MyFitness Tartu Annelinn,44%,2021-05-17 12:06:49.335639
MyFitness Tartu Kesklinn,25%,2021-05-17 12:06:49.335640
MyFitness Tartu Lõunakeskus,27%,2021-05-17 12:06:49.335641
MyFitness Viimsi,30%,2021-05-17 12:06:49.335642
MyFitness Viljandi,20%,2021-05-17 12:06:49.335643
MyFitness Viru,28%,2021-05-17 12:06:49.335644
MyFitness Ülemiste City,38%,2021-05-17 12:06:49.335648
MyFitness Balti Jaama Turg,28%,2021-05-17 13:06:44.813744
MyFitness Järve,43%,2021-05-17 13:06:44.813748
MyFitness Kristiine,21%,2021-05-17 13:06:44.813749
MyFitness Lasnamäe Kärberi,23%,2021-05-17 13:06:44.813750
MyFitness Lasnamäe Linnamäe,27%,2021-05-17 13:06:44.813751
MyFitness Lasnamäe Virbi,10%,2021-05-17 13:06:44.813752
MyFitness Mustamäe,35%,2021-05-17 13:06:44.813753
MyFitness Narva,25%,2021-05-17 13:06:44.813754
MyFitness Pirita,35%,2021-05-17 13:06:44.813755
MyFitness Postimaja,20%,2021-05-17 13:06:44.813756
MyFitness Rocca al Mare,70%,2021-05-17 13:06:44.813757
MyFitness Rävala,69%,2021-05-17 13:06:44.813757
MyFitness Solaris,17%,2021-05-17 13:06:44.813758
MyFitness Tartu Annelinn,56%,2021-05-17 13:06:44.813759
MyFitness Tartu Kesklinn,32%,2021-05-17 13:06:44.813760
MyFitness Tartu Lõunakeskus,17%,2021-05-17 13:06:44.813761
MyFitness Viimsi,34%,2021-05-17 13:06:44.813761
MyFitness Viljandi,23%,2021-05-17 13:06:44.813762
MyFitness Viru,30%,2021-05-17 13:06:44.813763
MyFitness Ülemiste City,36%,2021-05-17 13:06:44.813767
MyFitness Balti Jaama Turg,34%,2021-05-17 14:07:04.514096
MyFitness Järve,44%,2021-05-17 14:07:04.514099
MyFitness Kristiine,43%,2021-05-17 14:07:04.514101
MyFitness Lasnamäe Kärberi,19%,2021-05-17 14:07:04.514102
MyFitness Lasnamäe Linnamäe,24%,2021-05-17 14:07:04.514103
MyFitness Lasnamäe Virbi,18%,2021-05-17 14:07:04.514104
MyFitness Mustamäe,45%,2021-05-17 14:07:04.514105
MyFitness Narva,29%,2021-05-17 14:07:04.514106
MyFitness Pirita,40%,2021-05-17 14:07:04.514108
MyFitness Postimaja,29%,2021-05-17 14:07:04.514109
MyFitness Rocca al Mare,59%,2021-05-17 14:07:04.514110
MyFitness Rävala,61%,2021-05-17 14:07:04.514111
MyFitness Solaris,19%,2021-05-17 14:07:04.514111
MyFitness Tartu Annelinn,56%,2021-05-17 14:07:04.514112
MyFitness Tartu Kesklinn,36%,2021-05-17 14:07:04.514113
MyFitness Tartu Lõunakeskus,35%,2021-05-17 14:07:04.514114
MyFitness Viimsi,26%,2021-05-17 14:07:04.514115
MyFitness Viljandi,57%,2021-05-17 14:07:04.514116
MyFitness Viru,42%,2021-05-17 14:07:04.514117
MyFitness Ülemiste City,44%,2021-05-17 14:07:04.514123
MyFitness Balti Jaama Turg,70%,2021-05-17 15:06:39.346613
MyFitness Järve,76%,2021-05-17 15:06:39.346617
MyFitness Kristiine,46%,2021-05-17 15:06:39.346618
MyFitness Lasnamäe Kärberi,28%,2021-05-17 15:06:39.346619
MyFitness Lasnamäe Linnamäe,35%,2021-05-17 15:06:39.346621
MyFitness Lasnamäe Virbi,16%,2021-05-17 15:06:39.346622
MyFitness Mustamäe,65%,2021-05-17 15:06:39.346623
MyFitness Narva,54%,2021-05-17 15:06:39.346624
MyFitness Pirita,62%,2021-05-17 15:06:39.346625
MyFitness Postimaja,45%,2021-05-17 15:06:39.346626
MyFitness Rocca al Mare,92%,2021-05-17 15:06:39.346627
MyFitness Rävala,100%,2021-05-17 15:06:39.346628
MyFitness Solaris,19%,2021-05-17 15:06:39.346629
MyFitness Tartu Annelinn,88%,2021-05-17 15:06:39.346630
MyFitness Tartu Kesklinn,53%,2021-05-17 15:06:39.346631
MyFitness Tartu Lõunakeskus,65%,2021-05-17 15:06:39.346632
MyFitness Viimsi,33%,2021-05-17 15:06:39.346633
MyFitness Viljandi,100%,2021-05-17 15:06:39.346634
MyFitness Viru,65%,2021-05-17 15:06:39.346635
MyFitness Ülemiste City,51%,2021-05-17 15:06:39.346638
MyFitness Balti Jaama Turg,76%,2021-05-17 16:06:44.913310
MyFitness Järve,67%,2021-05-17 16:06:44.913314
MyFitness Kristiine,53%,2021-05-17 16:06:44.913315
MyFitness Lasnamäe Kärberi,29%,2021-05-17 16:06:44.913316
MyFitness Lasnamäe Linnamäe,48%,2021-05-17 16:06:44.913318
MyFitness Lasnamäe Virbi,13%,2021-05-17 16:06:44.913319
MyFitness Mustamäe,46%,2021-05-17 16:06:44.913319
MyFitness Narva,57%,2021-05-17 16:06:44.913320
MyFitness Pirita,57%,2021-05-17 16:06:44.913321
MyFitness Postimaja,51%,2021-05-17 16:06:44.913322
MyFitness Rocca al Mare,83%,2021-05-17 16:06:44.913323
MyFitness Rävala,100%,2021-05-17 16:06:44.913324
MyFitness Solaris,38%,2021-05-17 16:06:44.913325
MyFitness Tartu Annelinn,63%,2021-05-17 16:06:44.913326
MyFitness Tartu Kesklinn,33%,2021-05-17 16:06:44.913327
MyFitness Tartu Lõunakeskus,27%,2021-05-17 16:06:44.913328
MyFitness Viimsi,37%,2021-05-17 16:06:44.913328
MyFitness Viljandi,82%,2021-05-17 16:06:44.913329
MyFitness Viru,52%,2021-05-17 16:06:44.913330
MyFitness Ülemiste City,76%,2021-05-17 16:06:44.913334
MyFitness Balti Jaama Turg,43%,2021-05-17 17:06:21.815272
MyFitness Järve,49%,2021-05-17 17:06:21.815276
MyFitness Kristiine,53%,2021-05-17 17:06:21.815277
MyFitness Lasnamäe Kärberi,27%,2021-05-17 17:06:21.815278
MyFitness Lasnamäe Linnamäe,34%,2021-05-17 17:06:21.815279
MyFitness Lasnamäe Virbi,21%,2021-05-17 17:06:21.815281
MyFitness Mustamäe,43%,2021-05-17 17:06:21.815282
MyFitness Narva,52%,2021-05-17 17:06:21.815283
MyFitness Pirita,47%,2021-05-17 17:06:21.815284
MyFitness Postimaja,35%,2021-05-17 17:06:21.815285
MyFitness Rocca al Mare,84%,2021-05-17 17:06:21.815286
MyFitness Rävala,85%,2021-05-17 17:06:21.815287
MyFitness Solaris,29%,2021-05-17 17:06:21.815288
MyFitness Tartu Annelinn,64%,2021-05-17 17:06:21.815289
MyFitness Tartu Kesklinn,37%,2021-05-17 17:06:21.815290
MyFitness Tartu Lõunakeskus,25%,2021-05-17 17:06:21.815291
MyFitness Viimsi,28%,2021-05-17 17:06:21.815292
MyFitness Viljandi,57%,2021-05-17 17:06:21.815293
MyFitness Viru,33%,2021-05-17 17:06:21.815294
MyFitness Ülemiste City,50%,2021-05-17 17:06:21.815298
MyFitness Balti Jaama Turg,48%,2021-05-17 18:06:24.534698
MyFitness Järve,35%,2021-05-17 18:06:24.534702
MyFitness Kristiine,28%,2021-05-17 18:06:24.534703
MyFitness Lasnamäe Kärberi,24%,2021-05-17 18:06:24.534704
MyFitness Lasnamäe Linnamäe,14%,2021-05-17 18:06:24.534705
MyFitness Lasnamäe Virbi,13%,2021-05-17 18:06:24.534707
MyFitness Mustamäe,34%,2021-05-17 18:06:24.534708
MyFitness Narva,36%,2021-05-17 18:06:24.534709
MyFitness Pirita,23%,2021-05-17 18:06:24.534710
MyFitness Postimaja,22%,2021-05-17 18:06:24.534711
MyFitness Rocca al Mare,43%,2021-05-17 18:06:24.534712
MyFitness Rävala,75%,2021-05-17 18:06:24.534714
MyFitness Solaris,19%,2021-05-17 18:06:24.534715
MyFitness Tartu Annelinn,44%,2021-05-17 18:06:24.534716
MyFitness Tartu Kesklinn,24%,2021-05-17 18:06:24.534717
MyFitness Tartu Lõunakeskus,15%,2021-05-17 18:06:24.534718
MyFitness Viimsi,28%,2021-05-17 18:06:24.534719
MyFitness Viljandi,23%,2021-05-17 18:06:24.534720
MyFitness Viru,27%,2021-05-17 18:06:24.534721
MyFitness Ülemiste City,39%,2021-05-17 18:06:24.534725
MyFitness Balti Jaama Turg,31%,2021-05-17 19:06:18.195084
MyFitness Järve,16%,2021-05-17 19:06:18.195089
MyFitness Kristiine,1%,2021-05-17 19:06:18.195091
MyFitness Lasnamäe Kärberi,7%,2021-05-17 19:06:18.195092
MyFitness Lasnamäe Linnamäe,13%,2021-05-17 19:06:18.195093
MyFitness Lasnamäe Virbi,0%,2021-05-17 19:06:18.195094
MyFitness Mustamäe,26%,2021-05-17 19:06:18.195095
MyFitness Narva,0%,2021-05-17 19:06:18.195096
MyFitness Pirita,5%,2021-05-17 19:06:18.195098
MyFitness Postimaja,11%,2021-05-17 19:06:18.195099
MyFitness Rocca al Mare,36%,2021-05-17 19:06:18.195100
MyFitness Rävala,41%,2021-05-17 19:06:18.195101
MyFitness Solaris,0%,2021-05-17 19:06:18.195102
MyFitness Tartu Annelinn,14%,2021-05-17 19:06:18.195103
MyFitness Tartu Kesklinn,20%,2021-05-17 19:06:18.195104
MyFitness Tartu Lõunakeskus,0%,2021-05-17 19:06:18.195105
MyFitness Viimsi,25%,2021-05-17 19:06:18.195106
MyFitness Viljandi,7%,2021-05-17 19:06:18.195107
MyFitness Viru,28%,2021-05-17 19:06:18.195108
MyFitness Ülemiste City,21%,2021-05-17 19:06:18.195128
MyFitness Balti Jaama Turg,1%,2021-05-17 20:06:26.298726
MyFitness Järve,0%,2021-05-17 20:06:26.298730
MyFitness Kristiine,1%,2021-05-17 20:06:26.298731
MyFitness Lasnamäe Kärberi,1%,2021-05-17 20:06:26.298732
MyFitness Lasnamäe Linnamäe,3%,2021-05-17 20:06:26.298734
MyFitness Lasnamäe Virbi,0%,2021-05-17 20:06:26.298735
MyFitness Mustamäe,1%,2021-05-17 20:06:26.298736
MyFitness Narva,0%,2021-05-17 20:06:26.298737
MyFitness Pirita,3%,2021-05-17 20:06:26.298738
MyFitness Postimaja,0%,2021-05-17 20:06:26.298739
MyFitness Rocca al Mare,5%,2021-05-17 20:06:26.298740
MyFitness Rävala,3%,2021-05-17 20:06:26.298741
MyFitness Solaris,0%,2021-05-17 20:06:26.298742
MyFitness Tartu Annelinn,3%,2021-05-17 20:06:26.298743
MyFitness Tartu Kesklinn,4%,2021-05-17 20:06:26.298744
MyFitness Tartu Lõunakeskus,0%,2021-05-17 20:06:26.298745
MyFitness Viimsi,2%,2021-05-17 20:06:26.298746
MyFitness Viljandi,5%,2021-05-17 20:06:26.298747
MyFitness Viru,18%,2021-05-17 20:06:26.298748
MyFitness Ülemiste City,1%,2021-05-17 20:06:26.298752
MyFitness Viimsi,0%,2021-05-17 22:06:20.295428
MyFitness Viimsi,0%,2021-05-17 23:06:22.353416
MyFitness Viimsi,0%,2021-05-18 00:09:08.248953
MyFitness Viimsi,0%,2021-05-18 01:06:44.566491
MyFitness Viimsi,0%,2021-05-18 02:06:37.205196
MyFitness Rävala,5%,2021-05-18 03:07:08.235451
MyFitness Viimsi,0%,2021-05-18 03:07:08.235455
MyFitness Balti Jaama Turg,37%,2021-05-18 04:07:35.845836
MyFitness Järve,35%,2021-05-18 04:07:35.845857
MyFitness Kristiine,8%,2021-05-18 04:07:35.845858
MyFitness Lasnamäe Kärberi,10%,2021-05-18 04:07:35.845859
MyFitness Lasnamäe Linnamäe,14%,2021-05-18 04:07:35.845869
MyFitness Lasnamäe Virbi,3%,2021-05-18 04:07:35.845870
MyFitness Mustamäe,30%,2021-05-18 04:07:35.845871
MyFitness Narva,7%,2021-05-18 04:07:35.845873
MyFitness Pirita,5%,2021-05-18 04:07:35.845874
MyFitness Postimaja,9%,2021-05-18 04:07:35.845876
MyFitness Rocca al Mare,39%,2021-05-18 04:07:35.845877
MyFitness Rävala,33%,2021-05-18 04:07:35.845878
MyFitness Tartu Annelinn,26%,2021-05-18 04:07:35.845879
MyFitness Tartu Kesklinn,22%,2021-05-18 04:07:35.845880
MyFitness Tartu Lõunakeskus,13%,2021-05-18 04:07:35.845881
MyFitness Viimsi,8%,2021-05-18 04:07:35.845882
MyFitness Viljandi,16%,2021-05-18 04:07:35.845884
MyFitness Viru,12%,2021-05-18 04:07:35.845885
MyFitness Ülemiste City,24%,2021-05-18 04:07:35.845886
MyFitness Balti Jaama Turg,42%,2021-05-18 05:07:26.855546
MyFitness Järve,48%,2021-05-18 05:07:26.855551
MyFitness Kristiine,29%,2021-05-18 05:07:26.855552
MyFitness Lasnamäe Kärberi,11%,2021-05-18 05:07:26.855553
MyFitness Lasnamäe Linnamäe,14%,2021-05-18 05:07:26.855554
MyFitness Lasnamäe Virbi,13%,2021-05-18 05:07:26.855555
MyFitness Mustamäe,34%,2021-05-18 05:07:26.855556
MyFitness Narva,27%,2021-05-18 05:07:26.855557
MyFitness Pirita,22%,2021-05-18 05:07:26.855558
MyFitness Postimaja,34%,2021-05-18 05:07:26.855560
MyFitness Rocca al Mare,47%,2021-05-18 05:07:26.855561
MyFitness Rävala,52%,2021-05-18 05:07:26.855562
MyFitness Solaris,7%,2021-05-18 05:07:26.855563
MyFitness Tartu Annelinn,25%,2021-05-18 05:07:26.855564
MyFitness Tartu Kesklinn,29%,2021-05-18 05:07:26.855565
MyFitness Tartu Lõunakeskus,8%,2021-05-18 05:07:26.855566
MyFitness Viimsi,11%,2021-05-18 05:07:26.855567
MyFitness Viljandi,25%,2021-05-18 05:07:26.855568
MyFitness Viru,23%,2021-05-18 05:07:26.855569
MyFitness Ülemiste City,38%,2021-05-18 05:07:26.855574
MyFitness Balti Jaama Turg,49%,2021-05-18 06:07:13.452177
MyFitness Järve,24%,2021-05-18 06:07:13.452181
MyFitness Kristiine,26%,2021-05-18 06:07:13.452182
MyFitness Lasnamäe Kärberi,15%,2021-05-18 06:07:13.452183
MyFitness Lasnamäe Linnamäe,27%,2021-05-18 06:07:13.452184
MyFitness Lasnamäe Virbi,12%,2021-05-18 06:07:13.452185
MyFitness Mustamäe,34%,2021-05-18 06:07:13.452186
MyFitness Narva,29%,2021-05-18 06:07:13.452187
MyFitness Pirita,40%,2021-05-18 06:07:13.452188
MyFitness Postimaja,31%,2021-05-18 06:07:13.452189
MyFitness Rocca al Mare,61%,2021-05-18 06:07:13.452190
MyFitness Rävala,44%,2021-05-18 06:07:13.452191
MyFitness Solaris,19%,2021-05-18 06:07:13.452191
MyFitness Tartu Annelinn,24%,2021-05-18 06:07:13.452192
MyFitness Tartu Kesklinn,34%,2021-05-18 06:07:13.452193
MyFitness Tartu Lõunakeskus,15%,2021-05-18 06:07:13.452194
MyFitness Viimsi,22%,2021-05-18 06:07:13.452195
MyFitness Viljandi,18%,2021-05-18 06:07:13.452195
MyFitness Viru,20%,2021-05-18 06:07:13.452196
MyFitness Ülemiste City,32%,2021-05-18 06:07:13.452200
MyFitness Balti Jaama Turg,21%,2021-05-18 07:07:12.609319
MyFitness Järve,29%,2021-05-18 07:07:12.609324
MyFitness Kristiine,21%,2021-05-18 07:07:12.609325
MyFitness Lasnamäe Kärberi,13%,2021-05-18 07:07:12.609326
MyFitness Lasnamäe Linnamäe,13%,2021-05-18 07:07:12.609327
MyFitness Lasnamäe Virbi,21%,2021-05-18 07:07:12.609329
MyFitness Mustamäe,28%,2021-05-18 07:07:12.609329
MyFitness Narva,30%,2021-05-18 07:07:12.609330
MyFitness Pirita,25%,2021-05-18 07:07:12.609331
MyFitness Postimaja,23%,2021-05-18 07:07:12.609332
MyFitness Rocca al Mare,60%,2021-05-18 07:07:12.609333
MyFitness Rävala,44%,2021-05-18 07:07:12.609334
MyFitness Solaris,14%,2021-05-18 07:07:12.609335
MyFitness Tartu Annelinn,32%,2021-05-18 07:07:12.609336
MyFitness Tartu Kesklinn,18%,2021-05-18 07:07:12.609337
MyFitness Tartu Lõunakeskus,15%,2021-05-18 07:07:12.609338
MyFitness Viimsi,28%,2021-05-18 07:07:12.609339
MyFitness Viljandi,16%,2021-05-18 07:07:12.609339
MyFitness Viru,20%,2021-05-18 07:07:12.609340
MyFitness Ülemiste City,35%,2021-05-18 07:07:12.609345
MyFitness Balti Jaama Turg,31%,2021-05-18 08:07:17.673687
MyFitness Järve,33%,2021-05-18 08:07:17.673691
MyFitness Kristiine,20%,2021-05-18 08:07:17.673692
MyFitness Lasnamäe Kärberi,10%,2021-05-18 08:07:17.673693
MyFitness Lasnamäe Linnamäe,13%,2021-05-18 08:07:17.673694
MyFitness Lasnamäe Virbi,6%,2021-05-18 08:07:17.673696
MyFitness Mustamäe,23%,2021-05-18 08:07:17.673696
MyFitness Narva,30%,2021-05-18 08:07:17.673697
MyFitness Pirita,22%,2021-05-18 08:07:17.673699
MyFitness Postimaja,32%,2021-05-18 08:07:17.673700
MyFitness Rocca al Mare,66%,2021-05-18 08:07:17.673700
MyFitness Rävala,35%,2021-05-18 08:07:17.673701
MyFitness Solaris,5%,2021-05-18 08:07:17.673702
MyFitness Tartu Annelinn,32%,2021-05-18 08:07:17.673703
MyFitness Tartu Kesklinn,24%,2021-05-18 08:07:17.673704
MyFitness Tartu Lõunakeskus,17%,2021-05-18 08:07:17.673705
MyFitness Viimsi,18%,2021-05-18 08:07:17.673705
MyFitness Viljandi,32%,2021-05-18 08:07:17.673707
MyFitness Viru,8%,2021-05-18 08:07:17.673707
MyFitness Ülemiste City,29%,2021-05-18 08:07:17.673713
MyFitness Balti Jaama Turg,33%,2021-05-18 09:06:23.360662
MyFitness Järve,35%,2021-05-18 09:06:23.360665
MyFitness Kristiine,18%,2021-05-18 09:06:23.360666
MyFitness Lasnamäe Kärberi,11%,2021-05-18 09:06:23.360667
MyFitness Lasnamäe Linnamäe,19%,2021-05-18 09:06:23.360668
MyFitness Lasnamäe Virbi,12%,2021-05-18 09:06:23.360669
MyFitness Mustamäe,32%,2021-05-18 09:06:23.360669
MyFitness Narva,36%,2021-05-18 09:06:23.360670
MyFitness Pirita,20%,2021-05-18 09:06:23.360671
MyFitness Postimaja,14%,2021-05-18 09:06:23.360672
MyFitness Rocca al Mare,59%,2021-05-18 09:06:23.360672
MyFitness Rävala,33%,2021-05-18 09:06:23.360673
MyFitness Solaris,12%,2021-05-18 09:06:23.360674
MyFitness Tartu Annelinn,39%,2021-05-18 09:06:23.360679
MyFitness Tartu Kesklinn,29%,2021-05-18 09:06:23.360680
MyFitness Tartu Lõunakeskus,25%,2021-05-18 09:06:23.360680
MyFitness Viimsi,17%,2021-05-18 09:06:23.360681
MyFitness Viljandi,34%,2021-05-18 09:06:23.360682
MyFitness Viru,30%,2021-05-18 09:06:23.360682
MyFitness Ülemiste City,32%,2021-05-18 09:06:23.360685
MyFitness Balti Jaama Turg,39%,2021-05-18 10:06:39.209813
MyFitness Järve,34%,2021-05-18 10:06:39.209817
MyFitness Kristiine,16%,2021-05-18 10:06:39.209818
MyFitness Lasnamäe Kärberi,15%,2021-05-18 10:06:39.209819
MyFitness Lasnamäe Linnamäe,27%,2021-05-18 10:06:39.209821
MyFitness Lasnamäe Virbi,13%,2021-05-18 10:06:39.209822
MyFitness Mustamäe,38%,2021-05-18 10:06:39.209823
MyFitness Narva,32%,2021-05-18 10:06:39.209824
MyFitness Pirita,22%,2021-05-18 10:06:39.209825
MyFitness Postimaja,26%,2021-05-18 10:06:39.209826
MyFitness Rocca al Mare,46%,2021-05-18 10:06:39.209827
MyFitness Rävala,44%,2021-05-18 10:06:39.209828
MyFitness Solaris,36%,2021-05-18 10:06:39.209829
MyFitness Tartu Annelinn,35%,2021-05-18 10:06:39.209830
MyFitness Tartu Kesklinn,30%,2021-05-18 10:06:39.209831
MyFitness Tartu Lõunakeskus,33%,2021-05-18 10:06:39.209832
MyFitness Viimsi,20%,2021-05-18 10:06:39.209832
MyFitness Viljandi,27%,2021-05-18 10:06:39.209833
MyFitness Viru,27%,2021-05-18 10:06:39.209834
MyFitness Ülemiste City,22%,2021-05-18 10:06:39.209838
MyFitness Balti Jaama Turg,37%,2021-05-18 11:06:21.739369
MyFitness Järve,24%,2021-05-18 11:06:21.739372
MyFitness Kristiine,16%,2021-05-18 11:06:21.739373
MyFitness Lasnamäe Kärberi,15%,2021-05-18 11:06:21.739374
MyFitness Lasnamäe Linnamäe,24%,2021-05-18 11:06:21.739375
MyFitness Lasnamäe Virbi,16%,2021-05-18 11:06:21.739376
MyFitness Mustamäe,30%,2021-05-18 11:06:21.739377
MyFitness Narva,43%,2021-05-18 11:06:21.739378
MyFitness Pirita,12%,2021-05-18 11:06:21.739379
MyFitness Postimaja,34%,2021-05-18 11:06:21.739380
MyFitness Rocca al Mare,41%,2021-05-18 11:06:21.739381
MyFitness Rävala,47%,2021-05-18 11:06:21.739382
MyFitness Solaris,17%,2021-05-18 11:06:21.739383
MyFitness Tartu Annelinn,38%,2021-05-18 11:06:21.739384
MyFitness Tartu Kesklinn,32%,2021-05-18 11:06:21.739385
MyFitness Tartu Lõunakeskus,27%,2021-05-18 11:06:21.739385
MyFitness Viimsi,22%,2021-05-18 11:06:21.739386
MyFitness Viljandi,30%,2021-05-18 11:06:21.739387
MyFitness Viru,28%,2021-05-18 11:06:21.739388
MyFitness Ülemiste City,23%,2021-05-18 11:06:21.739391
MyFitness Balti Jaama Turg,49%,2021-05-18 12:06:47.496957
MyFitness Järve,37%,2021-05-18 12:06:47.496961
MyFitness Kristiine,37%,2021-05-18 12:06:47.496962
MyFitness Lasnamäe Kärberi,19%,2021-05-18 12:06:47.496963
MyFitness Lasnamäe Linnamäe,27%,2021-05-18 12:06:47.496964
MyFitness Lasnamäe Virbi,19%,2021-05-18 12:06:47.496965
MyFitness Mustamäe,38%,2021-05-18 12:06:47.496966
MyFitness Narva,55%,2021-05-18 12:06:47.496967
MyFitness Pirita,45%,2021-05-18 12:06:47.496968
MyFitness Postimaja,28%,2021-05-18 12:06:47.496969
MyFitness Rocca al Mare,75%,2021-05-18 12:06:47.496970
MyFitness Rävala,45%,2021-05-18 12:06:47.496971
MyFitness Solaris,24%,2021-05-18 12:06:47.496971
MyFitness Tartu Annelinn,43%,2021-05-18 12:06:47.496972
MyFitness Tartu Kesklinn,43%,2021-05-18 12:06:47.496973
MyFitness Tartu Lõunakeskus,31%,2021-05-18 12:06:47.496974
MyFitness Viimsi,22%,2021-05-18 12:06:47.496975
MyFitness Viljandi,27%,2021-05-18 12:06:47.496976
MyFitness Viru,30%,2021-05-18 12:06:47.496976
MyFitness Ülemiste City,41%,2021-05-18 12:06:47.496983
MyFitness Balti Jaama Turg,42%,2021-05-18 13:06:45.139560
MyFitness Järve,47%,2021-05-18 13:06:45.139564
MyFitness Kristiine,30%,2021-05-18 13:06:45.139565
MyFitness Lasnamäe Kärberi,21%,2021-05-18 13:06:45.139566
MyFitness Lasnamäe Linnamäe,20%,2021-05-18 13:06:45.139567
MyFitness Lasnamäe Virbi,7%,2021-05-18 13:06:45.139568
MyFitness Mustamäe,26%,2021-05-18 13:06:45.139569
MyFitness Narva,36%,2021-05-18 13:06:45.139570
MyFitness Pirita,48%,2021-05-18 13:06:45.139571
